127.0.0.1/marzban/a/		http://php.iscforiran.com:8010/index.php?route=/database/sql&db=marzban

   Showing rows 0 - 196 (197 total, Query took 0.0093 seconds.)


SELECT
    a.username AS admin_username,
    COUNT(t.id) AS total_transactions,
    SUM(t.amount) AS total_invoice_amount
FROM 
    transactions t
JOIN 
    admins a ON t.admin_id = a.id
WHERE 
    t.event_timestamp BETWEEN '2025-07-08 00:00:00' AND '2025-07-18 23:59:59' -- <-- تاریخ را اینجا ویرایش کنید
GROUP BY 
    a.username
ORDER BY 
    a.username ASC;


admin_username	total_transactions	total_invoice_amount	
Abedmb	38	1059000.00	
adakmb	9	180000.00	
adrnmb	14	306000.00	
aldmb	8	360000.00	
almasmb	23	838900.00	
alpha	12	408000.00	
amber	18	604500.00	
Amer	54	1285000.00	
Amirak	10	180000.00	
amireza	20	1160000.00	
amirmob	40	1088000.00	
amirsht	16	556500.00	
amitsesf	17	711000.00	
AMMB	25	240300.00	
aphmeesf	1	18000.00	
Aplmb	3	144000.00	
apxhmd	4	108000.00	
armatl	24	881000.00	
Arnamb	7	184500.00	
asiamb	38	967000.00	
ASMMB	2	36000.00	
Avamb	14	450000.00	
avatkmsb	2	27000.00	
AYMB	2	52500.00	
azdmd	3	49500.00	
badiz	4	126000.00	
baranmob	41	1419300.00	
Bhrmimb	212	8580000.00	
bnfshmsb	10	346000.00	
Bnkmb	44	1091000.00	
callmb	14	265500.00	
clascmb	1	18000.00	
cloud	12	202500.00	
coral	1	6300.00	
Daemimb	43	774000.00	
danmb	2	40500.00	
daryamb	75	2295600.00	
dawn	13	558000.00	
Dgmb	1	4500.00	
digimb46	17	369000.00	
dkhmd	1	36000.00	
dprsesf	7	135000.00	
dream	4	72000.00	
drmbesf	4	81000.00	
Dyhz	2	94500.00	
Dynmb	8	139500.00	
echo	9	213000.00	
edalat	6	414000.00	
EHMB	4	139500.00	
ehsanmb	15	441000.00	
ember	50	1380800.00	
emdadrayn	11	162900.00	
emojimb	17	834000.00	
emptl	76	3810000.00	
fanousesf	20	574000.00	
fardadesf	6	207000.00	
farhad	10	1395000.00	
frbdesf	3	78000.00	
Frdo	10	495000.00	
frost	2	89000.00	
gardmb	36	1260000.00	
ghadirmob	8	157500.00	
ghoqmb	44	1440000.00	
gitmob	23	634500.00	
Hamd	4	99000.00	
haminesf	1	9000.00	
Hemad	6	189000.00	
hezaremb	2	240000.00	
hmrshmb	20	459000.00	
hsmus	13	391500.00	
hsnpuresf	19	1458000.00	
idalesf	5	135000.00	
idehmb	14	211500.00	
ilandesf	6	300000.00	
imnhmesf	1	22500.00	
iranstore	3	101700.00	
iris	1	90000.00	
irsaesf	1	24000.00	
isanmb	20	576000.00	
isc_plus	109	5255400.00	
itkmd	3	153000.00	
jade	5	102000.00	
Jfpmb	3	72000.00	
Karamad	17	355500.00	
KB3MB	2	45000.00	
khalilzade	51	1620000.00	
khanemob	5	81000.00	
kianesf	1	27000.00	
limb	1	27000.00	
loutoosmb	29	801000.00	
luna	1	900.00	
mahaesf	1	27000.00	
maplmb	16	622500.00	
marmar	65	2389200.00	
martinmb	9	274000.00	
mashreghi	14	440400.00	
mbicmesf	15	291000.00	
mehrnmob	2	54000.00	
mhbdmb	1	45000.00	
mhmaddbr	3	150000.00	
Mhmd2	53	1426500.00	
Mhmdimb	4	108000.00	
mhmshd	35	945900.00	
miladbgh	16	531000.00	
MIMB	16	401000.00	
minaiemob	12	315000.00	
